created_at,entry_id,field1,field2
2025-03-24 00:48:42 UTC,18628561,12.000000,1.000000
2025-03-24 00:48:57 UTC,18628562,7.000000,5.000000
2025-03-24 00:49:13 UTC,18628563,1.000000,16.000000
2025-03-24 00:49:29 UTC,18628564,4.000000,12.000000
2025-03-24 00:49:44 UTC,18628565,2.000000,10.000000
2025-03-24 00:50:00 UTC,18628566,7.000000,11.000000
2025-03-24 00:50:16 UTC,18628567,16.000000,13.000000
2025-03-24 00:50:32 UTC,18628568,9.000000,29.000000
2025-03-24 00:50:47 UTC,18628569,17.000000,13.000000
2025-03-24 00:51:03 UTC,18628570,8.000000,21.000000
2025-03-24 00:51:19 UTC,18628571,10.000000,13.000000
2025-03-24 00:51:34 UTC,18628572,5.000000,15.000000
2025-03-24 00:51:50 UTC,18628573,6.000000,7.000000
2025-03-24 00:52:06 UTC,18628574,3.000000,30.000000
2025-03-24 00:52:21 UTC,18628575,0.000000,2.000000
2025-03-24 00:52:37 UTC,18628576,2.000000,27.000000
2025-03-24 00:52:53 UTC,18628577,3.000000,15.000000
2025-03-24 00:53:08 UTC,18628578,0.000000,7.000000
2025-03-24 00:53:24 UTC,18628579,5.000000,12.000000
2025-03-24 00:53:40 UTC,18628580,15.000000,19.000000
2025-03-24 00:53:56 UTC,18628581,0.000000,8.000000
2025-03-24 00:54:11 UTC,18628582,4.000000,23.000000
2025-03-24 00:54:26 UTC,18628583,10.000000,20.000000
2025-03-24 00:54:42 UTC,18628584,10.000000,11.000000
2025-03-24 00:54:58 UTC,18628585,8.000000,16.000000
2025-03-24 00:55:13 UTC,18628586,11.000000,7.000000
2025-03-24 00:55:29 UTC,18628587,10.000000,3.000000
2025-03-24 00:55:45 UTC,18628588,3.000000,22.000000
2025-03-24 00:56:00 UTC,18628589,9.000000,7.000000
2025-03-24 00:56:16 UTC,18628590,11.000000,15.000000
2025-03-24 00:56:31 UTC,18628591,2.000000,14.000000
2025-03-24 00:56:47 UTC,18628592,9.000000,6.000000
2025-03-24 00:57:03 UTC,18628593,11.000000,3.000000
2025-03-24 00:57:18 UTC,18628594,3.000000,10.000000
2025-03-24 00:57:34 UTC,18628595,0.000000,4.000000
2025-03-24 00:57:50 UTC,18628596,4.000000,5.000000
2025-03-24 00:58:05 UTC,18628597,13.000000,7.000000
2025-03-24 00:58:21 UTC,18628598,19.000000,21.000000
2025-03-24 00:58:37 UTC,18628599,6.000000,15.000000
2025-03-24 00:58:52 UTC,18628600,0.000000,14.000000
2025-03-24 00:59:07 UTC,18628601,1.000000,20.000000
2025-03-24 00:59:22 UTC,18628602,4.000000,21.000000
2025-03-24 00:59:38 UTC,18628603,10.000000,10.000000
2025-03-24 00:59:53 UTC,18628604,4.000000,0.000000
2025-03-24 01:00:09 UTC,18628605,5.000000,9.000000
2025-03-24 01:00:24 UTC,18628606,2.000000,3.000000
2025-03-24 01:00:40 UTC,18628607,5.000000,12.000000
2025-03-24 01:00:55 UTC,18628608,9.000000,8.000000
2025-03-24 01:01:11 UTC,18628609,2.000000,14.000000
2025-03-24 01:01:26 UTC,18628610,0.000000,5.000000
2025-03-24 01:01:42 UTC,18628611,0.000000,16.000000
2025-03-24 01:01:57 UTC,18628612,13.000000,11.000000
2025-03-24 01:02:13 UTC,18628613,3.000000,12.000000
2025-03-24 01:02:28 UTC,18628614,15.000000,9.000000
2025-03-24 01:02:43 UTC,18628615,5.000000,10.000000
2025-03-24 01:02:59 UTC,18628616,10.000000,8.000000
2025-03-24 01:03:16 UTC,18628617,15.000000,13.000000
2025-03-24 01:03:30 UTC,18628618,15.000000,26.000000
2025-03-24 01:03:46 UTC,18628619,14.000000,9.000000
2025-03-24 01:04:01 UTC,18628620,4.000000,11.000000
2025-03-24 01:04:17 UTC,18628621,0.000000,13.000000
2025-03-24 01:04:32 UTC,18628622,1.000000,14.000000
2025-03-24 01:04:48 UTC,18628623,8.000000,3.000000
2025-03-24 01:05:04 UTC,18628624,10.000000,6.000000
2025-03-24 01:05:19 UTC,18628625,1.000000,2.000000
2025-03-24 01:05:35 UTC,18628626,3.000000,8.000000
2025-03-24 01:05:51 UTC,18628627,2.000000,2.000000
2025-03-24 01:06:06 UTC,18628628,0.000000,2.000000
2025-03-24 01:06:21 UTC,18628629,13.000000,13.000000
2025-03-24 01:06:37 UTC,18628630,16.000000,0.000000
2025-03-24 01:06:52 UTC,18628631,17.000000,6.000000
2025-03-24 01:07:07 UTC,18628632,7.000000,4.000000
2025-03-24 01:07:22 UTC,18628633,4.000000,7.000000
2025-03-24 01:07:38 UTC,18628634,6.000000,3.000000
2025-03-24 01:07:53 UTC,18628635,1.000000,1.000000
2025-03-24 01:08:08 UTC,18628636,0.000000,9.000000
2025-03-24 01:08:23 UTC,18628637,6.000000,0.000000
2025-03-24 01:08:39 UTC,18628638,4.000000,9.000000
2025-03-24 01:08:55 UTC,18628639,8.000000,12.000000
2025-03-24 01:09:10 UTC,18628640,10.000000,3.000000
2025-03-24 01:09:26 UTC,18628641,2.000000,3.000000
2025-03-24 01:09:41 UTC,18628642,0.000000,6.000000
2025-03-24 01:09:57 UTC,18628643,6.000000,3.000000
2025-03-24 01:10:12 UTC,18628644,3.000000,1.000000
2025-03-24 01:10:28 UTC,18628645,0.000000,8.000000
2025-03-24 01:10:44 UTC,18628646,0.000000,18.000000
2025-03-24 01:11:00 UTC,18628647,2.000000,6.000000
2025-03-24 01:11:16 UTC,18628648,7.000000,2.000000
2025-03-24 01:11:32 UTC,18628649,14.000000,4.000000
2025-03-24 01:11:48 UTC,18628650,2.000000,2.000000
2025-03-24 01:12:03 UTC,18628651,6.000000,15.000000
2025-03-24 01:12:19 UTC,18628652,1.000000,16.000000
2025-03-24 01:12:34 UTC,18628653,5.000000,11.000000
2025-03-24 01:12:50 UTC,18628654,8.000000,0.000000
2025-03-24 01:13:05 UTC,18628655,12.000000,0.000000
2025-03-24 01:13:21 UTC,18628656,1.000000,6.000000
2025-03-24 01:13:36 UTC,18628657,0.000000,0.000000
2025-03-24 01:13:51 UTC,18628658,0.000000,2.000000
2025-03-24 01:14:07 UTC,18628659,1.000000,0.000000
2025-03-24 01:14:23 UTC,18628660,11.000000,8.000000
